For the year ended December 31:,(Gain)/Loss Recognized in Consolidated Income Statement.Consolidated Income Statement.Line Item,(Gain)/Loss Recognized in Consolidated Income Statement.Recognized on Derivatives.2025,(Gain)/Loss Recognized in Consolidated Income Statement.Recognized on Derivatives.2024,(Gain)/Loss Recognized in Consolidated Income Statement.Recognized on Derivatives.2023,(Gain)/Loss Recognized in Consolidated Income Statement.Attributable to Risk Being Hedged (1).2025,(Gain)/Loss Recognized in Consolidated Income Statement.Attributable to Risk Being Hedged (1).2024,(Gain)/Loss Recognized in Consolidated Income Statement.Attributable to Risk Being Hedged (1).2023
Derivative instruments in fair value hedges (2),,,,,,,
Interest rate contracts,Cost of financing,$ (11),$ 41,$ 17,$ 22,$ (19),$ 2
,Interest expense,(59),208,83,118,(97),11
Derivative instruments not designated as hedging instruments,,,,,,,
Foreign exchange contracts,Other (income) and expense,(116),390,192,N/A,N/A,N/A
Equity contracts,SG&A expense,(176),(135),(153),N/A,N/A,N/A
,Other (income) and expense,-,-,-,N/A,N/A,N/A
Total,,$ (362),$ 504,$ 140,$ 140,$ (116),$ 13
