"At December 31, 2025:",Total Amortized Cost,Amortized Cost > 90 Days (1),Amortized Cost > 90 Days and Accruing (1),Billed Invoices > 90 Days and Accruing,Amortized Cost Not Accruing (2)
Americas,"$ 7,278",$ 70,$ 20,$ 1,$ 50
EMEA,"4,440",33,$ 0,0,33
Asia Pacific,"1,610",6,3,0,3
Total client financing receivables,"$ 13,328",$ 108,$ 24,$ 1,$ 85
