($ in millions),,2024,2023
Cost,$ 269,$ 223,$ 190
SG&A expense,904,690,616
R&D expense,542,398,328
Pre-tax stock-based compensation cost,"1,715","1,311","1,133"
Income tax benefits,(740),(469),(290)
Net stock-based compensation cost,$ 975,$ 842,$ 843
