($ in millions)
**For the year ended December 31:**,,**2025**,,**2024**,,,**2023**
Cashpaid for amounts included in the measurement of lease liabilities
Operatingcash outflows from finance leases,$,58,$,,43,$,16
Financingcash outflows from finance leases,,280,,,189,,75
Operatingcash outflows from operatingleases,,"1,011",,,961,,961
ROU assets obtained in exchange for new finance lease liabilities,,444,,,698,,355
ROU assets obtained in exchange for new operatinglease liabilities,,658,,,988,,"1,220"
