**Balance Sheet and Return on Equity Highlights**
($ in millions)
**At December 31:**,,**2025**,,**2024**
Client financingreceivables(1),$,"13,192",$,"10,294"
Commercial financingreceivables(1) (2),$,"2,992",$,"2,216"
FinancingSegment Debt(3),$,"15,093",$,"12,116"
Equity,$,"1,678",$,"1,346"
