**For the year ended**<br>**December 31:**,**Gains/(Losses)**<br>**Recognized in OCI**,**Gains/(Losses)**<br>**Recognized in OCI**,**Gains/(Losses)**<br>**Recognized in OCI**,**Consolidated**<br>**Income Statement**<br>**Line Item**,**(Gains)/Losses**,**(Gains)/Losses**,**(Gains)/Losses**,**(Gains)/Losses**,**(Gains)/Losses**,**(Gains)/Losses**
**Reclassified**<br>**from AOCI**<br>**Amounts Excluded from**<br>**Effectiveness Testing(1)**
**2025**<br>**2024**<br>**2023**,,,,**2025**<br>**2024**<br>**2023**<br>**2025**<br>**2024**<br>**2023**
**Derivative instruments in**<br>**cash flow hedges**
Interest rate contracts,$ —,$ —,$ —,Cost of financing,$ 2,$ 2,$ 3,N/A,N/A,N/A
Interest expense,11,13,15,N/A,N/A,N/A
Foreign exchange<br>contracts
Amount included in<br>the assessment of<br>effectiveness,175,405,213,Cost of services,27,(22),<br>5,N/A,N/A,N/A
Cost of sales,15,(40),<br>(22),N/A,N/A,N/A
Cost of financing,2,4,11,N/A,N/A,N/A
SG&A expense,6,(16),<br>(12),N/A,N/A,N/A
Other (income)<br>and expense,(633),48,(239),N/A,N/A,N/A
Interest expense,12,19,51,N/A,N/A,N/A
Amount excluded from<br>the assessment of<br>effectiveness,(240),(16),<br>(6),Other (income)<br>and expense,N/A<br>N/A<br>N/A,,,108,77,29
**Instruments in net**<br>**investment hedges(2)**
Foreign exchange<br>contracts
Amount included in<br>the assessment of<br>effectiveness,"(2,120)","1,354",(397)
Amount excluded from<br>the assessment of<br>effectiveness,22<br>4<br>—,,,Cost of financing,N/A,N/A,N/A,(18),(18),<br>(22)
Interest expense,N/A<br>N/A<br>N/A<br>(96)<br>(91)  (105)
**Total**,"$ (2,163)$ 1,747 $ (190)",,,,$ (557)$ 7<br>$ (189)$ (5)$ (32) $ (98)
