($ in millions)
"**At December 31, 2025:**",**Americas**<br>**Aaa - Baa3**<br>**Ba1 - C**,**EMEA**<br>**Asia Pacific**<br>**Aaa - Baa3**<br>**Ba1 - C**<br>**Aaa - Baa3**<br>**Ba1 - C**
Vintageyear
2025,"$ 3,979<br>$ 644","$ 2,223<br>$ 501<br>$ 777<br>$ 93"
2024,"1,142<br>220",715<br>296<br>330<br>46
2023,708<br>181,262<br>143<br>177<br>9
2022,237<br>27,118<br>74<br>126<br>17
2021,73<br>4,42<br>8<br>25<br>1
2020 andprior,15<br>49,15<br>41<br>5<br>4
**Total**,"$ 6,153<br>$ 1,125","$ 3,376<br>$ 1,064<br>$ 1,440<br>$ 170"
