basis adjustments for fair value hedges:
($ in millions)
**At December 31:**,,**2025**,,**2024**
Short-term debt
Carryingamount of the hedged item,$,—,$,(13)
Cumulative hedgingadjustments included in the carryingamount—assets/(liabilities),,—,,(13)
Long-term debt
Carryingamount of the hedged item,,"(6,656)",,"(6,497)"
Cumulative hedgingadjustments included in the carryingamount—assets/(liabilities) (1),,36,,190
