($ in millions)
**Yr.-to-Yr.**
**Percent/**
**Margin**
**For the year ended December 31:**,,**2025**,,**2024**,**Change**
**Software**
Grossprofit,$,"25,011",$,"22,658",10.4 %
Grossprofit margin,,83.5 %,,83.7 %,(0.2)pts.
Segmentprofit,$,"9,920",$,"8,684",14.2 %
Segmentprofit margin,,33.1 %,,32.1 %,1.0pts.
