($ in millions)
**For the year ended December 31:**,**(Gains)/Losses of Total Hedge Activity**
**2025**<br>**2024**<br>**2023**
Cost of services,$ 27<br>$ (22)<br>$ 5
Cost of sales,15<br>(40)<br>(22)
Cost of financing,(2)<br>10<br>11
SG&A expense,(170)<br>(151)<br>(165)
Other (income) and expense,(641)<br>515<br>(17)
Interest expense,(13)<br>51<br>54
