**One-Year**
**(U.S. Dollar)**,,,**12/2024**,**3/2025**,**6/2025**,**9/2025**,**12/2025**
International Business Machines,,$ 100.00,$ 113.87,$ 135.90,$ 130.99,$ 138.26
S & P 500,,$ 100.00,$ 95.73,$ 106.20,$ 114.83,$ 117.88
S & P Information Technology,,$ 100.00,$ 87.35,$ 108.05,$ 122.31,$ 124.04
**Five-Year**
**(U.S. Dollar)**,,**2020**,**2021**,**2022**,**2023**,**2024**,**2025**
International Business Machines,$ 100.00,$ 117.00,$ 129.53,$ 157.86,$ 219.86,$ 303.97
S & P 500,$ 100.00,$ 128.71,$ 105.40,$ 133.10,$ 166.40,$ 196.16
S & P Information Technology,$ 100.00,$ 134.53,$ 96.60,$ 152.48,$ 208.30,$ 258.38
