($ in millions)
**Corporate**
**Bonds**,,**Other(1)**,,,**Total**
"Balance at January1, 2025",$,186,$,,7,$,,193
Return on assets held at end ofyear,,3,,,(6),,,(3)
Return on assets sold duringtheyear,,(1),,,0,,,(1)
"Purchases, sales and settlements, net",,(30),,,2,,,(28)
"Transfers, net",,—,,,—,,,—
"**Balance at December 31, 2025**",$,157,$,,3,$,,160
