"the Consolidated Balance Sheet at December 31, 2025."
($ in millions)
**Total**
2026,$,"1,470"
2027,,"1,227"
2028,,874
2029,,509
2030,,203
Thereafter,,55
**Total undiscounted cash flows**,$,"4,338"
Present value of leasepayments(recognized as financingreceivables) (1),,"3,858"
**Difference between undiscounted cash flows and discounted cash flows**,$,479
