($ in millions)
**Foreign**
**Currency**
**Purchase**,,,,**Translation**
**Balance at**,,**Goodwill**,,**Price**,,,,**and Other**,,**Balance at**
**Segment**,"**January 1, 2024**",,,**Additions**,,**Adjustments**,,**Divestitures**,**Adjustments(1)**,,"**December 31, 2024**"
Software,$,"46,447",$,"1,511",$,<br>(51),$,<br>—,$,<br>(770),$,"47,136"
Consulting,,"8,883",,469,,(3),,(1),,(142),,"9,206"
Infrastructure,,"4,384",,8,,(1),,—,,(28),,"4,363"
Other(2),,464,,—,,—,,(464),,—,,—
**Total**,$,"60,178",$,"1,987",$,<br>(55),$,<br>(465),$,<br>(940),$,"60,706"
