($ in millions except per share amounts)
**Acquisition-**,,**Retirement-**,,,**U.S. Tax**
**Related**,,**Related**,,**Reform**,,**Operating**
"**For the year ended December 31, 2025:**",,**GAAP**,**Adjustments**,,**Adjustments**,,,**Impacts(1)**,**(non-GAAP)**
Grossprofit,$,"39,297",$,<br>888,$,—,$,<br>—,$,"40,184"
Grossprofit margin,,58.2 %,,1.3pts.,,—pts.,,—pts.,,59.5 %
SG&A,$,"20,123",$,"(1,417)",$,—,$,<br>—,$,"18,706"
R&D,,"8,316",,(4),,—,,—,,"8,312"
Other (income) and expense,,(442),,(11),,(65),,—,,(518)
Total expense and other (income),,"28,968",,"(1,432)",,(65),,—,,"27,472"
Pre-tax income from continuingoperations,,"10,328",,"2,320",,65,,—,,"12,713"
Pre-tax margin from continuingoperations,,15.3 %,,3.4pts.,,0.1pts.,,—pts.,,18.8 %
Provision for/(benefit from) income taxes(1) (2),$,(242),$,<br>786,$,15,$,"1,161",$,"<br>1,719"
Effective tax rate,,(2.3) %,,6.6pts.,,0.1pts.,,9.1pts.,,13.5 %
Income from continuingoperations,$,"10,571",$,"1,534",$,49,$,"(1,161)",$,"10,993"
Income margin from continuingoperations,,15.7 %,,2.3pts.,,0.1pts.,,(1.7)pts.,,16.3 %
Diluted earningsper share from continuingoperations,$,11.14,$,<br>1.62,$,0.05,$,(1.22),$,<br>11.59
