"The following table presents the company’s financial assets and financial<br>basis at December 31, 2025 and 2024.",liabilities that are measured at fair value on a recurring
($ in millions)
**Fair Value**<br>**At December 31:**<br>**Hierarchy Level**,**2025**<br>**2024**<br>**Assets(5)**<br>**Liabilities(6)**<br>**Assets(5)**<br>**Liabilities(6)**
Cash equivalents(1)
"Time deposits, certificates of deposit and other(2)<br>2","$ 7,072<br>N/A<br>$ 6,663<br>N/A"
Moneymarket funds<br>1,413<br>N/A<br>284<br>N/A
Total cash equivalents,"$ 7,485<br>N/A<br>$ 6,948<br>N/A"
Debt securities–current(2) (3)<br>2,830<br>N/A<br>644<br>N/A
"Debt securities–noncurrent(2) (4)<br>2,3",9<br>N/A<br>124<br>N/A
Derivatives designated as hedginginstruments
Interest rate contracts<br>2,2<br>171<br>—<br>362
Foreign exchange contracts<br>2,545<br>325<br>645<br>294
Derivatives not designated as hedginginstruments
Foreign exchange contracts<br>2,12<br>14<br>22<br>43
Equitycontracts<br>2,34<br>3<br>4<br>27
**Total**,"$ 8,916<br>$ 513<br>$ 8,386<br>$ 726"
