($ in millions)
**For the year ended December 31:**,,**2025**,,,**2024**
**Commercial financing receivables**
Receivables transferred duringtheperiod,$,,"8,035",$,,"7,860"
Receivables uncollected at end ofperiod(1),$,,"1,052",$,,"1,150"
