($ in millions)
**Amortized**,,**Billed**,,**Amortized**
**Total**,,**Amortized**,,**Cost**,,**Invoices**,,**Cost**
**Amortized**,,**Cost**,,**> 90 Days and**,,**> 90 Days and**,,**Not**
"**At December 31, 2024:**",,**Cost**,,**> 90 Days(1)**,,**Accruing(1)**,,**Accruing**,,**Accruing(2)**
Americas,$,"5,861",$,66,$,<br>7,$,<br>1,$,62
EMEA,,"3,128",,29,,1,,0,,28
Asia Pacific,,"1,429",,8,,0,,0,,7
**Total client financing receivables**,$,"10,418",$,103,$,<br>8,$,<br>1,$,97
