**NOTE J. INVENTORY**
($ in millions)
**At December 31:**,,**2025**,,**2024**
Finishedgoods,$,230,$,134
Work inprocess and raw materials,,990,,"1,155"
**Total**,$,"1,220",$,"1,289"
