**At December 31:**,**2025**,**2024**
Finance leases
Weighted-average remaininglease term (inyears),4.9,6.0
Weighted-average discount rate,4.85 %,5.03 %
Operatingleases
Weighted-average remaininglease term (inyears),6.4,6.4
Weighted-average discount rate,5.07 %,4.91 %
