"Consolidated Income Statement, excluding DC plans."
($ in millions)
**For the year ended December 31:**,**Defined Benefit Pension Plans**
**U.S. Plans**<br>**Non-U.S. Plans**<br>**2025**<br>**2024**<br>**2023**<br>**2025**<br>**2024**<br>**2023**
Service cost(1),$ 352<br>$ 394<br>$ —<br>$ 174<br>$ 170<br>$ 177
Interest cost(2),"748<br>911<br>1,090<br>1,070<br>1,077<br>1,170"
Expected return onplan assets(2),"(1,073)<br>(1,253)<br>(1,529)<br>(1,467)<br>(1,546)<br>(1,440)"
Amortization ofprior service costs/(credits) (2),—<br>—<br>0<br>22<br>22<br>20
Recognized actuarial losses(2),280<br>452<br>109<br>343<br>516<br>400
Curtailments and settlements(2) (3),"—<br>2,761<br>—<br>9<br>398<br>7"
Multi-employerplans,—<br>—<br>—<br>13<br>13<br>13
Other costs/(credits)(2),—<br>—<br>—<br>5<br>3<br>13
**Total netperiodic(income)/cost(3)**,"$ 307<br>$ 3,265<br>$ (329)<br>$ 170<br>$ 652<br>$ 359"
