Consolidated Income Statement.
($ in millions)
**For the year ended December 31:**,**U.S. Plans**,**Non-U.S. Plans**<br>**Total**<br>**2025**<br>**2024**<br>**2023**<br>**2025**<br>**2024**<br>**2023**
**2025**<br>**2024**<br>**2023**
Total defined benefit pension plans<br>(income)/cost(1),"$ 307<br>$ 3,265<br>$ (329)","$ 170<br>$ 652<br>$ 359<br>$ 477<br>$ 3,918<br>$ 30"
Total defined contributionplans cost(2),$ 61<br>$ 57<br>$ 615,$ 400<br>$ 383<br>$ 376<br>$ 461<br>$ 440<br>$ 991
Nonpension postretirement benefit<br>plans cost,$ 86<br>$ 79<br>$ 92,$ 44<br>$ 41<br>$ 36<br>$ 130<br>$ 120<br>$ 128
**Total retirement-related benefits net**<br>**periodic cost(1)**,"$ 455<br>$ 3,402<br>$ 378","$ 614<br>$ 1,077<br>$ 771<br>$ 1,068<br>$ 4,478<br>$ 1,149"
