**Research and Development**
($ in millions)
**Yr.-to-Yr.**
**Percent**
**For the year ended December 31:**,,**2025**,,**2024**,**Change**
**Total research and development expense**,$,"8,316",$,"7,479",11.2 %
Non-operatingadjustments
Acquisition-related charges,,(4),,—,NM
**Operating (non-GAAP) research and development expense**,$,"8,312",$,"7,479",11.1 %
