($ in millions)
**Total**
**Consideration(1)**
Cashpaid for outstandingHashiCorpcommon stock,$,"7,212"
Cashpaid for HashiCorpequityawards,,178
**Cash consideration**,$,"7,390"
Fair value of stock-based compensation awards attributable topre-acquisition services,,40
Settlement ofpre-existingrelationships,,3
**Total consideration**,$,"7,433"
