($ in millions)
**U.S. Plan**<br>**Non-U.S. Plans**<br>**Level 1**<br>**Level 2**<br>**Level 3**<br>**Total**<br>**Level 1**<br>**Level 2**<br>**Level 3**<br>**Total**
Equity
Equitysecurities(1),$ 738<br>$ —<br>$ 3<br>$ 741<br>$ 44<br>$ —<br>$ —<br>$ 44
Equitymutual funds(2),349<br>—<br>—<br>349<br>—<br>—<br>—<br>—
Fixed income
Government and related(3),"—<br>5,168<br>—<br>5,168<br>93<br>6,142<br>—<br>6,235"
Corporate bonds,"—<br>3,839<br>157<br>3,997<br>—<br>3,084<br>—<br>3,084"
Mortgage and asset-backed securities,—<br>127<br>—<br>127<br>—<br>5<br>—<br>5
Fixed income mutual funds(4),268<br>—<br>—<br>268<br>—<br>—<br>—<br>—
Insurance contracts(5),"—<br>—<br>—<br>—<br>—<br>4,399<br>—<br>4,399"
Cash and short-term investments(6),"1,733<br>(171)<br>—<br>1,561<br>204<br>52<br>—<br>256"
Real estate,—<br>—<br>—<br>—<br>—<br>—<br>—<br>—
Derivatives(7),0<br>(1)<br>—<br>(1)<br>38<br>(2)<br>—<br>36
Other mutual funds(8),—<br>—<br>—<br>—<br>22<br>—<br>—<br>22
Subtotal,"3,088<br>8,962<br>160<br>12,210<br>401<br>13,680<br>—<br>14,081"
Investments measured at net asset<br>value using the NAV practical<br>expedient(9),"—<br>—<br>—<br>5,863<br>—<br>—<br>—<br>12,726"
Other(10),—<br>—<br>—<br>—<br>—<br>—<br>—<br>(74)
**Fair value ofplan assets**,"$ 3,088<br>$ 8,962<br>$ 160<br>$ 18,073<br>$ 401<br>$ 13,680<br>$ —<br>$ 26,733"
