"**At December 31, 2024:**",**Client Financing Receivables**,**Commercial Financing**<br>**Receivables**<br>**Held for**<br>**Investment**<br>**Held for**<br>**Sale(1)**<br>**Total**
**Client Loan and**<br>**Installment Payment**<br>**Receivables**<br>**(Loans)**<br>**Investment in**<br>**Sales-Type and**<br>**Direct Financing**<br>**Leases**
"Financingreceivables,gross","$ 7,425<br>$ 3,406","$ 1,322<br>$ 900<br>$ 13,052"
Unearned income,(547)<br>(344),—<br>—<br>(891)
Unguaranteed residual value,—<br>479,—<br>—<br>479
**Amortized cost**,"$ 6,878<br>$ 3,540","$ 1,322<br>$ 900<br>$ 12,639"
Allowance for credit losses,(73)<br>(50),(5)<br>—<br>(128)
"**Total financing receivables, net**","$ 6,804<br>$ 3,491","$ 1,317<br>$ 900<br>$ 12,512"
Currentportion,"$ 3,535<br>$ 1,408","$ 1,317<br>$ 900<br>$ 7,159"
Noncurrentportion,"$ 3,269<br>$ 2,083","$ —<br>$ —<br>$ 5,353"
