($ in millions)
**At December 31:**,**Defined Benefit**,**Pension Plans**<br>**Non-U.S. Plans**<br>**2025**<br>**2024**,**Nonpension Postretirement Benefit Plans**
**U.S. Plans**<br>**2025**<br>**2024**,,**U.S. Plan**<br>**Non-U.S. Plans**<br>**2025**<br>**2024**<br>**2025**<br>**2024**
Prepaidpension assets,"$ 4,866<br>$ 4,651","$ 2,679<br>$ 2,842",$ 0<br>$ 0<br>$ 0<br>$ 0
Current liabilities—compensation<br>and benefits,(116)<br>(117),(407)<br>(362),(254)<br>(218)<br>(32)<br>(20)
Noncurrent liabilities—retirement<br>and nonpension postretirement<br>benefit obligations,"(1,137)<br>(1,160)","(5,411)<br>(5,766)","(1,965)<br>(2,033)<br>(505)<br>(473)"
**Funded status—net**,"$ 3,613<br>$ 3,373","$ (3,139)<br>$ (3,286)","$ (2,219)<br>$ (2,251)<br>$ (538)<br>$ (493)"
