($ in millions)
**Before Tax**,**Tax**,**(Expense)/**,,**Net of Tax**
"**For the year ended December 31, 2023:**",,**Amount**,,**Benefit**,,**Amount**
**Other comprehensive income/(loss)**
**Foreign currency translation adjustments**,$,3,$,100,$,103
**Net unrealizedgains/(losses) on available-for-sale securities**,$,0,$,0,$,0
**Unrealizedgains/(losses) on cash flow hedges**
Unrealizedgains/(losses) arisingduringtheperiod,$,207,$,(63),$,144
Reclassification of (gains)/losses to:
Cost of services,,5,,(1),,5
Cost of sales,,(22),,8,,(14)
Cost of financing,,14,,(3),,10
SG&A expense,,(12),,4,,(8)
Other (income) and expense,,(209),,53,,(157)
Interest expense,,66,,(17),,49
**Total unrealizedgains/(losses) on cash flow hedges**,$,47,$,(19),$,28
**Retirement-related benefitplans (1)**
Prior service costs/(credits),$,2,$,0,$,2
Netgains/(losses) arisingduringtheperiod,,"(3,115)",,536,,"(2,579)"
Curtailments and settlements,,5,,(1),,4
Amortization ofprior service costs/(credits),,(9),,3,,(6)
Amortization of net (gains)/losses,,515,,(88),,427
**Total retirement-related benefitplans**,$,"(2,602)",$,450,$,"(2,152)"
**Other comprehensive income/(loss)**,$,"(2,552)",$,531,$,"(2,021)"
