**Interest on Debt**
($ in millions)
**For the year ended December 31:**,,**2025**,,,**2024**,,,**2023**
Cost of financing,$,,365,$,,336,$,,334
Interest expense,,,"1,935",,,"1,712",,,"1,607"
Interest capitalized,,,4,,,12,,,9
**Total interestpaid and accrued**,$,,"2,305",$,,"2,060",$,,"1,949"
