($ in millions)
"**At December 31, 2024:**",**Americas**<br>**Aaa - Baa3**<br>**Ba1 - C**,**EMEA**<br>**Asia Pacific**<br>**Aaa - Baa3**<br>**Ba1 - C**<br>**Aaa - Baa3**<br>**Ba1 - C**
Vintageyear
2024,"$ 2,080<br>$ 621","$ 1,145<br>$ 514<br>$ 616<br>$ 77"
2023,"1,372<br>310",341<br>258<br>285<br>19
2022,950<br>113,408<br>194<br>254<br>26
2021,233<br>24,125<br>27<br>69<br>5
2020,43<br>17,29<br>15<br>36<br>8
2019 andprior,53<br>44,37<br>35<br>26<br>7
**Total**,"$ 4,732<br>$ 1,129","$ 2,085<br>$ 1,043<br>$ 1,287<br>$ 142"
