For the year ended December 31:,2025,2024,Yr.-to-Yr. Percent/ Margin Change
Software,,,
Gross profit,"$ 25,011","$ 22,658",10.4 %
Gross profit margin,83.5 %,83.7 %,(0.2) pts.
Segment profit,"$ 9,920","$ 8,684 14.2 %",
Segment profit margin,33.1 %,,32.1 % 1.0 pts.
