At December 31:,2025.Amount,2025.Weighted-Average  Interest Rate,2024.Amount,2024.Weighted-Average  Interest Rate
Fixed-rate debt,"$ 54,004",3.5 %,"$ 47,712",3.3 %
Floating-rate debt  (1),"7,255",5.0 %,"7,231",5.6 %
Total,"$ 61,259",,"$ 54,943",
