For the year ended December 31:,U.S. Plans.2025,U.S. Plans.,U.S. Plans.2024 2023,Non-U.S. Plans.2025,Non-U.S. Plans.2024 2023,Total.2025,Total.,Total.2024 2023
Total defined benefit pension plans  (income)/cost (1),$ 307,"$ 3,265",$ (329),$ 170,$ 652 $ 359,$ 477,"$ 3,918",$ 30
Total defined contribution plans cost (2),$ 61,,$ 57 $ 615,$ 400,$ 383 $ 376,$ 461,,$ 440 $ 991
Nonpension postretirement benefit  plans cost,$ 86,,$ 79 $ 92,$ 44,$ 41 $ 36,$ 130,,$ 120 $ 128
Total retirement-related benefits net  periodic cost (1),$ 455,"$ 3,402",$ 378,$ 614,"$ 1,077  $ 771","$ 1,068","$ 4,478","$ 1,149"
