,2026 2027 2028 2029 2030 Thereafter,Imputed  Interest (1),Total (2)
Finance leases,,"$ 331 $ 313 $ 225 $ 182 $ 94 $ 152 $ (145) $ 1,153",
Operating leases,,,"935 780 562 430 277 974 (612) 3,347"
