"At December 31, 2025:",Gross Carrying  Amount Accumulated  Amortization Net Carrying  Amount (1)
Intangible asset class,
Capitalized software,"$ 1,388 $ (424) $ 964"
Client relationships,"11,261 (5,602) 5,659"
Completed technology,"7,399 (4,096) 3,304"
Patents/trademarks,"2,030 (665) 1,365"
Other (2),139  (40)  99
Total,"$ 22,218 $ (10,827) $ 11,391"
