($ in millions) For the year ended December 31:,2025,2024  2023
Revenue,,
Total reportable segments,"$ 67,472","$ 62,510 $ 61,229"
Other—divested businesses,(2),35 397
Other revenue (1),65,207 235
Total revenue,"$ 67,535","$ 62,753 $ 61,860"
