($ in millions),Additions/(Releases),Write-offs (1),"Foreign currency and Other December 31, 2025",
$114,$5,$(31),$10,$99
"January 1, 2024",Additions/(Releases),Write-offs (1),"Foreign currency and Other December 31, 2024",
$192,$(2),$(78),$2,$114
