For the year ended December 31:,2025,2024,Yrto-Yr.<br>Percent/<br>Margin<br>Change
---------------------------------,-------------,-------------,------------------------------------------
Infrastructure,,,
Gross profit,"\$<br>9,216","\$<br>7,819",17.9 %
Gross profit margin,58.6 %,55.8 %,2.9 pts.
Segment profit,"\$<br>3,458","\$<br>2,450",41.2 %
Segment profit margin,22.0 %,17.5 %,4.5 pts.
