,,2025,2024,,,
------------------------,--------------,-----------------------------------,--------------,-----------------------------------,--,--
At December 31:,Amount,Weighted-Average<br>Interest Rate,Amount,Weighted-Average<br>Interest Rate,,
Fixed-rate debt,"\$<br>54,004",3.5 %,"\$<br>47,712",3.3 %,,
Floating-rate debt (1),"7,255",5.0 %,"7,231",5.6 %,,
Total,"\$<br>61,259",,"\$<br>54,943",,,
