For the year ended December 31:,2025,2024 (1),Yrto-Yr.<br>Percent<br>Change,Yrto-Yr.<br>Percent Change<br>Adjusted for<br>Currency
---------------------------------,--------------,--------------,-------------------------------,--------------------------------------------------------
Software revenue,"\$<br>29,962","\$<br>27,085",10.6 %,9.1 %
Hybrid Cloud,"\$<br>7,327","\$<br>6,490",12.9 %,11.7 %
Automation,"7,733","6,558",17.9,16.5
Data,"6,299","5,629",11.9,10.6
Transaction Processing,"8,603","8,408",2.3,0.4
