For the year ended December 31:,2025<br>2024,,,,2023
---------------------------------,--------------,----,--------,----,--------
United States,"\$<br>26,892",\$,"25,144",\$,"25,309"
Other countries,"40,643",,"37,609",,"36,551"
Total revenue,"\$<br>67,535",\$,"62,753",\$,"61,860"
