At December 31:,2025,2024,,
----------------------------------------,-------------,-------------,--,--
Capitalized costs to obtain a contract,\$<br>966,\$<br>794,,
Deferred costs to fulfill a contract,,,,
Deferred setup costs,294,326,,
Other deferred fulfillment costs,649,628,,
Total deferred costs (1),"\$<br>1,909","\$<br>1,748",,
