,Corporate<br>Bonds,Other (1),Total
---------------------------------------,--------------------,-----------,-----------
"Balance at January 1, 2024",\$<br>709,\$<br>13,\$<br>722
Return on assets held at end of year,4,(2),2
Return on assets sold during the year,16,0,16
"Purchases, sales and settlements, net",(545),(9),(554)
"Transfers, net",1,5,6
"Balance at December 31, 2024",\$<br>186,\$<br>7,\$<br>193
