For the year ended December 31:,2025,2024,Yrto-Yr.<br>Percent/<br>Margin<br>Change
---------------------------------,--------------,--------------,------------------------------------------
Software,,,
Gross profit,"\$<br>25,011","\$<br>22,658",10.4 %
Gross profit margin,83.5 %,83.7 %,(0.2) pts.
Segment profit,"\$<br>9,920","\$<br>8,684",14.2 %
Segment profit margin,33.1 %,32.1 %,1.0 pts.
