,2025,2024,2023
---------------------------------------------------------------------------------,------------,------------,------------
Net cash from operating activities (1),\$<br>13.2,\$<br>13.4,\$<br>13.9
"Cash and cash equivalents, restricted cash and short-term marketable securities",\$<br>14.5,\$<br>14.8,\$<br>13.5
Committed global credit facilities (2),\$<br>10.0,\$<br>10.0,\$<br>10.0
