,U.S. Plan<br>Payments,Qualified<br>Non-U.S. Plans<br>Payments,,Nonqualified<br>Non-U.S. Plans<br>Payments,,,Total Expected<br>Benefit<br>Payments
-----------,-----------------------,-----------------------------------------,-------,--------------------------------------------,-----,-------,---------------------------------------
2026,\$<br>265 \$,,20 \$,,,27 \$,312
2027,262,,21,,27,,310
2028,256,,22,,27,,305
2029,248,,23,,27,,298
2030,239,,24,,28,,290
2031-2035,"1,002",,131,,158,,"1,291"
