For the year ended December 31:,2025,2024 (1),Yrto-Yr.<br>Percent<br>Change,Yrto-Yr.<br>Percent Change<br>Adjusted for<br>Currency
---------------------------------,--------------,--------------,-------------------------------,--------------------------------------------------------
Consulting revenue,"\$<br>21,055","\$<br>20,692",1.8 %,0.4 %
Strategy and Technology,"\$<br>11,537","\$<br>11,488",0.4 %,(1.0) %
Intelligent Operations,"9,518","9,204",3.4,2.2
