"Assets<br>Current assets<br>Cash and cash equivalents<br>\$ 13,587<br>Restricted cash<br>54<br>Marketable securities<br>I<br>830<br>Notes and accounts receivable—trade (net of allowances of \$99 in 2025 and \$114 in 2024)<br>C<br>8,112<br>Short-term financing receivables<br>K<br>Held for investment (net of allowances of \$106 in 2025 and \$109 in 2024)<br>7,344<br>Held for sale<br>1,131<br>Other accounts receivable (net of allowances of \$37 in 2025 and \$31 in 2024)<br>1,052<br>Inventory<br>J<br>1,220<br>Deferred costs<br>C<br>1,084<br>Prepaid expenses and other current assets<br>2,530<br>Total current assets<br>36,944<br>Property, plant and equipment<br>L<br>17,874<br>Less: Accumulated depreciation<br>L<br>11,975<br>Property, plant and equipment<br>—<br>net<br>L<br>5,899<br>Operating right-of-use assets—net<br>M<br>3,129<br>3,197<br>Long-term financing receivables (net of allowances of \$34 in 2025 and \$19 in 2024)<br>K<br>7,708<br>5,353<br>Prepaid pension assets<br>U<br>7,544<br>7,492<br>Deferred costs<br>C<br>825<br>Deferred taxes<br>G<br>8,610<br>6,978<br>Goodwill<br>N<br>67,717<br>60,706<br>Intangible assets—net<br>N<br>11,391<br>10,660<br>Investments and sundry assets<br>2,112<br>Total assets<br>\$ 151,880<br>\$ 137,175<br>Liabilities and equity<br>Current liabilities<br>Taxes<br>G<br>\$<br>2,347<br>\$<br>Short-term debt<br>I&O<br>6,424<br>Accounts payable<br>4,756<br>Compensation and benefits<br>4,114<br>Deferred income<br>C<br>16,101<br>Operating lease liabilities<br>M<br>800<br>Other accrued expenses and liabilities<br>4,116<br>Total current liabilities<br>38,658<br>Long-term debt<br>I&O<br>54,836<br>Retirement and nonpension postretirement benefit obligations<br>U<br>9,018<br>Deferred income<br>C<br>4,271<br>Operating lease liabilities<br>M<br>2,547<br>Other liabilities<br>P<br>9,810<br>Total liabilities<br>119,139<br>Commitments and Contingencies<br>Q<br>Equity<br>R<br>IBM stockholders' equity<br>Common stock, par value \$.20 per share, and additional paid-in capital<br>63,318<br>Shares authorized: 4,687,500,000<br>Shares issued (2025—2,290,618,523; 2024—2,279,164,313)<br>Retained earnings<br>155,648<br>Treasury stock, at cost (shares: 2025—1,353,666,394; 2024—1,352,874,243)<br>(170,605)<br>Accumulated other comprehensive income/(loss)<br>(15,713)<br>Total IBM stockholders' equity<br>32,648<br>Noncontrolling interests<br>A<br>93<br>Total equity<br>32,740<br>27,393",At December 31:,Notes,2025,2024
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------,-------,------,------------
,,,,
,,,,
,,,,"\$ 13,947"
,,,,214
,,,,644
,,,,"6,804"
,,,,
,,,,"6,259"
,,,,900
,,,,947
,,,,"1,289"
,,,,959
,,,,"2,520"
,,,,"34,482"
,,,,"17,691"
,,,,"11,959"
,,,,"5,731"
,,,,
,,,,
,,,,
,,,,
,,,,788
,,,,
,,,,
,,,,
,,,,"1,787"
,,,,
,,,,
,,,,
,,,,"2,033"
,,,,"5,089"
,,,,"4,032"
,,,,"3,605"
,,,,"13,907"
,,,,768
,,,,"3,709"
,,,,"33,142"
,,,,"49,884"
,,,,"9,432"
,,,,"3,622"
,,,,"2,655"
,,,,"11,048"
,,,,"109,783"
,,,,
,,,,
,,,,
,,,,"61,380"
,,,,
,,,,
,,,,"151,163"
,,,,"(169,968)"
,,,,"(15,269)"
,,,,"27,307"
,,,,86
,,,,
"\$ 151,880<br>Total liabilities and equity",,,,"\$ 137,175"
