,,Moody's,
-----------------------,------------------------,----------------------,------------------
IBM Ratings,Standard<br>and Poor's,Investors<br>Service,Fitch<br>Ratings
Senior long-term debt,A-,A3,A
Commercial paper,A-2,Prime-2,F1
