For the year ended December 31:,2025,2024,2023,,
---------------------------------,-------------,-------------,------,-------,--
RSUs,,,,,
Granted,"\$<br>1,562","\$<br>1,449",\$,"1,293",
Vested,"1,157",994,,845,
PSUs,,,,,
Granted,\$<br>239,\$<br>183,\$,151,
Vested,118,121,,95,
