At December 31:,2025,2024,,
----------------------------,--------------,------,--------,--
Total debt,"\$<br>61,260",\$,"54,973",
Financing segment debt (1),"\$<br>15,093",\$,"12,116",
Non-Financing debt,"\$<br>46,167",\$,"42,858",
