For the year ended December 31:,2025,,,2024,2023,,
---------------------------------,------,--------,----,--------,------,--------,--
Americas,\$,"33,342",\$,"31,266",\$,"31,666",
Europe/Middle East/Africa,,"22,189",,"19,429",,"18,492",
Asia Pacific,,"12,004",,"12,058",,"11,702",
Total,\$,"67,535",\$,"62,753",\$,"61,860",
