Segment,"Balance at<br>January 1, 2025",Goodwill<br>Additions,Purchase<br>Price<br>Adjustments,Divestitures,Foreign<br>Currency<br>Translation<br>and Other<br>Adjustments (1),"Balance at<br>December 31, 2025"
----------------,-------------------------------,-----------------------,----------------------------------,--------------,--------------------------------------------------------------------,---------------------------------
Software,"\$<br>47,136","\$<br>5,004",\$<br>(8),\$<br>—,\$<br>855,"\$<br>52,987"
Consulting,"9,206",908,10,—,217,"10,341"
Infrastructure,"4,363",—,0,0,26,"4,389"
Other,—,—,—,—,—,—
Total,"\$<br>60,706","\$<br>5,912",\$<br>1,\$<br>0,"\$<br>1,098","\$<br>67,717"
