For the year ended December 31:,2025,2024,Yrto-Yr.<br>Percent<br>Change
-------------------------------------------------------,-------------,-------------,-------------------------------
Total research and development expense,"\$<br>8,316","\$<br>7,479",11.2 %
Non-operating adjustments,,,
Acquisition-related charges,(4),—,NM
Operating (non-GAAP) research and development expense,"\$<br>8,312","\$<br>7,479",11.1 %
