,Plan,Eligibility,Funding,Benefit Calculation,Other
---------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
U.S. Defined Benefit<br>(DB) Pension Plans,"IBM Personal Pension<br>Plan (Qualified PPP)<br>which includes the<br>Retirement Benefit<br>Account (""RBA"") as of<br>January 1, 2024","U.S. regular, full-time<br>and part-time<br>employees hired prior<br>to January 1, 2005<br>RBA - U.S. regular, full<br>time and part time<br>employees with at<br>least one year of<br>service on or after<br>January 1, 2024","Any company<br>contributions, required<br>or voluntary, are to an<br>irrevocable trust fund,<br>held for the sole<br>benefit of participants<br>and beneficiaries","Vary based on the<br>participant:<br>Based on average<br>earnings, years of<br>service and age<br>Cash balance formula<br>based on percentage of<br>employees' annual<br>salary, as well as an<br>interest crediting rate<br>(includes RBA as of","Excluding RBA, benefit<br>accruals ceased<br>December 31, 2007<br>Certain defined benefit<br>pension obligations<br>and related plan assets<br>were transferred in<br>2024, as described<br>under ""IBM Retirement<br>Plan Changes,"" below"
,"Excess Personal<br>Pension Plan (""Excess<br>PPP"")","U.S. regular, full-time<br>and part-time<br>employees hired prior<br>to January 1, 2005","Unfunded, provides<br>benefits in excess of<br>IRS limitations for<br>qualified plans","January 1, 2024)","Benefit accruals<br>ceased December 31,<br>2007"
,"Supplemental<br>Executive Retention<br>Plan (""Retention Plan"")",Eligible U.S. executives,Unfunded,"Based on average<br>earnings, years of<br>service and age",
U.S. Defined<br>Contribution (DC)<br>Plans,401(k) Plan,"U.S. regular, full-time<br>and part-time<br>employees",All plan participant<br>contributions are made<br>in cash and invested in<br>accordance with<br>participants'<br>investment elections,"Employees can save up<br>to 80% of eligible pay,<br>subject to the Internal<br>Revenue Code (IRC)<br>annual contribution<br>limit",All amounts in the plan<br>are 100% vested
,Excess Savings Plan,U.S. employees whose<br>eligible compensation<br>is expected to exceed<br>IRS compensation limit<br>for qualified plans,"Unfunded, non<br>qualified amounts<br>deferred are record<br>keeping (notional)<br>accounts and are not<br>held in trust for the<br>participants, but may<br>be invested in<br>accordance with<br>participants'<br>investment elections<br>(under the 401(k) Plan<br>options)",Company matches<br>contributions on<br>eligible compensation<br>deferred and on<br>compensation earned<br>in excess of the IRC<br>pay limit,"Amounts deferred into<br>the Plan, including<br>company contributions,<br>are recorded as<br>liabilities"
U.S. Nonpension<br>Postretirement<br>Benefit Plan,Nonpension<br>Postretirement Plan<br>(IBM Benefits Plan for<br>Retired Employees),"Medical and dental<br>benefits for eligible<br>U.S. retirees and<br>eligible dependents, as<br>well as life insurance<br>for eligible U.S. retirees","Company contributes<br>to irrevocable trust<br>fund, held for the sole<br>benefit of participants<br>and beneficiaries",Varies based on plan<br>design formulas and<br>eligibility requirements,"Since January 1, 2004,<br>new hires are not<br>eligible for these<br>benefits"
Non-U.S. Plans,DB or DC,Eligible regular<br>employees in certain<br>non-U.S. subsidiaries<br>or branches,"Company deposits<br>funds under various<br>fiduciary-type<br>arrangements,<br>purchases annuities<br>under group contracts<br>or provides reserves for<br>these plans",Based either on years<br>of service and the<br>employee's<br>compensation<br>(generally during a<br>fixed number of years<br>immediately before<br>retirement) or on<br>annual credits,"In certain countries,<br>benefit accruals have<br>ceased and/or have<br>been closed to new<br>hires as of various<br>dates<br>Certain defined benefit<br>pension obligations<br>and related plan assets<br>were transferred in<br>2024, as described<br>under ""IBM Retirement<br>Plan Changes,"" below"
,Nonpension<br>Postretirement Plan,"Medical and dental<br>benefits for eligible<br>non-U.S. retirees and<br>eligible dependents, as<br>well as life insurance<br>for certain eligible non<br>U.S. retirees",Primarily unfunded<br>except for a few select<br>countries where the<br>company contributes to<br>irrevocable trust funds<br>held for the sole<br>benefit of participants<br>and beneficiaries,Varies based on plan<br>design formulas and<br>eligibility requirements<br>by country,Most non-U.S. retirees<br>are covered by local<br>government sponsored<br>and administered<br>programs
