,,,U.S. Plans,,,Non-U.S. Plans,,,Total,,
------------------------------------------------------------,--------,----,------------,-----------------,----------,----------------,----------,----------,----------,----,----------
For the year ended December 31:,2025,,2024,2023,2025,2024,2023,2025,2024,,2023
Total defined benefit pension plans<br>(income)/cost (1),\$ 307,,"\$ 3,265",\$ (329) \$ 170,,\$ 652,\$ 359,\$ 477,"\$ 3,918",\$,30
Total defined contribution plans cost (2),\$,61,\$<br>57,\$ 615,\$ 400,\$ 383,\$ 376,\$ 461,\$ 440,,\$ 991
Nonpension postretirement benefit<br>plans cost,\$,86,\$<br>79,\$<br>92,\$<br>44,\$<br>41,\$<br>36,\$ 130,\$ 120,,\$ 128
Total retirement-related benefits net<br>periodic cost (1),\$ 455,,"\$ 3,402",\$ 378,\$ 614,"\$ 1,077",\$ 771,"\$ 1,068","\$ 4,478",,"\$ 1,149"
