,Qualified<br>U.S. Plan<br>Payments,,Nonqualified<br>U.S. Plans<br>Payments,,Qualified<br>Non-U.S. Plans<br>Payments,,Nonqualified<br>Non-U.S. Plans<br>Payments,,Total Expected<br>Benefit<br>Payments,
-----------,------------------------------------,----------,----------------------------------------,--,-----------------------------------------,--,--------------------------------------------,--,---------------------------------------,--
2026,\$,"1,180 \$",119 \$,,"2,009 \$",,405 \$,,"3,713",
2027,,"1,210",116,,"1,938",,371,,"3,635",
2028,,"1,224",114,,"1,920",,368,,"3,625",
2029,,"1,227",111,,"1,906",,363,,"3,608",
2030,,"1,187",108,,"1,877",,360,,"3,533",
2031-2035,,"5,587",489,,"8,959",,"1,629",,"16,664",
