For the year ended December 31:,2025,2024,Yrto-Yr.<br>Percent/<br>Margin<br>Change
-----------------------------------------------------,--------------,--------------,------------------------------------------
Total expense and other (income) (1) (2),"\$<br>28,968","\$<br>29,754",(2.6) %
Non-operating adjustments,,,
Amortization of acquired intangible assets,"(1,279)","(1,107)",15.5
Acquisition-related charges,(154),(122),25.6
Non-operating retirement-related (costs)/income (2),(65),"(3,457)",(98.1)
Operating (non-GAAP) expense and other (income) (1),"\$<br>27,472","\$<br>25,068",9.6 %
Total expense-to-revenue ratio,42.9 %,47.4 %,(4.5) pts.
Operating (non-GAAP) expense-to-revenue ratio,40.7 %,39.9 %,0.7 pts.
