At December 31:,2025,,2024,,
---------------------,------,--------------,--------,--,--
Current assets,\$,"36,944<br>\$","34,482",,
Current liabilities,\$,"38,658<br>\$","33,142",,
Working capital,\$,"(1,714) \$","1,340",,
Current ratio,,0.96:1,1.04:1,,
