For year ended December 31:,,2025,2024 (1),Yrto-Yr.<br>Percent/Margin<br>Change
--------------------------------------------------------------------------,----,------------,--------------,--------------------------------------
Revenue (2),\$,"67,535","\$<br>62,753",7.6 %
Gross profit margin,,58.2 %,56.7 %,1.5 pts.
Total expense and other (income),\$,"28,968","\$<br>29,754",(2.6) %
Income from continuing operations before income taxes,\$,"10,328","\$<br>5,797",78.2 %
Provision for/(benefit from) income taxes from continuing operations (1),\$,(242),\$<br>(218),11.1 %
Income from continuing operations (1),\$,"10,571","\$<br>6,015",75.7 %
Income from continuing operations margin,,15.7 %,9.6 %,6.1 pts.
"Income from discontinued operations, net of tax",\$,22,\$<br>8,162.5 %
Net income,\$,"10,593","\$<br>6,023",75.9 %
Earnings per share from continuing operations–assuming dilution,\$,11.14,\$<br>6.42,73.5 %
Consolidated earnings per share–assuming dilution,\$,11.17,\$<br>6.43,73.7 %
Weighted-average shares outstanding–assuming dilution,\$,948.7,\$<br>937.2,1.2 %
Assets (3),,"\$ 151,880","\$ 137,175",10.7 %
Liabilities (3),,"\$ 119,139","\$ 109,783",8.5 %
Equity (3),\$,"32,740","\$<br>27,393",19.5 %
