For the year ended December 31:,2025,2024,Yrto-Yr.<br>Percent<br>Change
----------------------------------,-----------,-----------,-------------------------------
Intellectual property income (1),\$<br>265,\$<br>329,(19.3) %
Custom development income,699,667,4.7
Total,\$<br>964,\$<br>996,(3.2) %
