For the year ended December 31:,2025,2024,Yrto-Yr.<br>Percent<br>Change,Yrto-Yr.<br>Percent Change<br>Adjusted for<br>Currency
---------------------------------,-----------,-----------,-------------------------------,--------------------------------------------------------
Revenue,\$<br>737,\$<br>713,3.3 %,2.5 %
Segment profit (1),\$<br>521,\$<br>348,49.6 %,
Segment profit margin,70.7 %,48.8 %,21.9 pts.,
