At December 31:,2025,2024,,
-----------------------------------------,---------------,------,---------,--
Noncurrent assets,"\$<br>114,936",\$,"102,693",
Long-term debt,"\$<br>54,836",\$,"49,884",
Noncurrent liabilities (excluding debt),"\$<br>25,645",\$,"26,756",
