(U.S. Dollar),,2020,2021,2022,2023,2024,2025
---------------,---------------------------------,-----------,-----------,-----------,-----------,-----------,-----------
,International Business Machines,\$ 100.00,\$ 117.00,\$ 129.53,\$ 157.86,\$ 219.86,\$ 303.97
,S & P 500,\$ 100.00,\$ 128.71,\$ 105.40,\$ 133.10,\$ 166.40,\$ 196.16
,S & P Information Technology,\$ 100.00,\$ 134.53,\$ 96.60,\$ 152.48,\$ 208.30,\$ 258.38
